RT,SERIALNO,SPORDER,PUMA00,PUMA10,ST,ADJINC,PWGTP,AGEP,MAR,RELP,SCH,SCHL,SEX,WAGP,ESR,HISP,INDP,MSP,OC,OCCP10,PERNP,PINCP,RAC1P,RC
P,2.01E+12,2,1501,-9,22,1094136,10,83,1,1,1,23,1,0,6,1,,1,0,,0,5400,2,0
P,2.01E+12,3,1501,-9,22,1094136,14,5,5,7,1,2,1,,,1,,,0,,,,2,1
P,2.01E+12,1,1401,-9,22,1094136,16,72,1,0,1,16,1,0,6,1,,1,0,,0,33200,1,0
P,2.01E+12,2,1401,-9,22,1094136,17,70,1,1,1,16,2,0,6,1,,1,0,,0,6600,1,0
P,2.01E+12,1,1401,-9,22,1094136,12,34,1,0,1,16,1,60000,1,2,770,1,0,6230,60000,60000,1,0
P,2.01E+12,2,1401,-9,22,1094136,16,34,1,1,1,13,2,0,6,2,,1,0,,0,0,1,0
P,2.01E+12,3,1401,-9,22,1094136,14,11,5,2,2,7,1,,,2,,,1,,,,1,1
P,2.01E+12,4,1401,-9,22,1094136,14,8,5,2,2,4,1,,,2,,,1,,,,1,1
P,2.01E+12,1,1300,-9,22,1094136,1,54,3,16,1,17,2,0,6,1,5390,4,0,4720,0,0,1,0
P,2.01E+12,1,1501,-9,22,1094136,26,27,5,0,1,21,2,40000,1,1,7070,6,0,4920,40000,40000,2,0
P,2.01E+12,2,1501,-9,22,1094136,43,2,5,2,,,2,,,1,,,1,,,,2,1
P,2.01E+12,1,1401,-9,22,1094136,53,67,4,0,1,14,2,0,6,1,,5,0,,0,17200,1,0
P,2.01E+12,1,1502,-9,22,1094136,16,93,2,0,1,16,2,0,6,1,,3,0,,0,3000,1,0
P,2.01E+12,1,1300,-9,22,1094136,15,67,2,0,1,16,2,0,6,1,,3,0,,0,57500,1,0
P,2.01E+12,1,1600,-9,22,1094136,19,40,3,0,1,20,2,38000,1,1,8170,4,0,430,38000,38000,1,0
P,2.01E+12,2,1600,-9,22,1094136,25,11,5,2,2,8,1,,,1,,,1,,,,1,1
P,2.01E+12,3,1600,-9,22,1094136,18,8,5,2,2,5,2,,,1,,,1,,,,1,1
P,2.01E+12,1,1402,-9,22,1094136,22,71,3,0,1,18,2,0,6,1,,4,0,,0,-800,1,0
P,2.01E+12,1,1600,-9,22,1094136,51,70,1,0,1,16,1,0,6,1,,1,0,,0,22100,1,0
P,2.01E+12,2,1600,-9,22,1094136,53,68,1,1,1,16,2,0,6,1,,1,0,,0,6600,1,0
P,2.01E+12,1,1600,-9,22,1094136,12,46,1,0,1,23,1,292000,1,1,8190,1,0,3060,563000,563000,2,0
P,2.01E+12,2,1600,-9,22,1094136,20,42,1,1,1,21,2,0,6,1,8180,1,0,430,0,18000,2,0
P,2.01E+12,3,1600,-9,22,1094136,14,11,5,2,3,7,2,,,1,,,1,,,,2,1
P,2.01E+12,4,1600,-9,22,1094136,13,9,5,2,3,5,1,,,1,,,1,,,,2,1
P,2.01E+12,1,1501,-9,22,1094136,16,80,2,16,1,16,2,0,6,1,,3,0,,0,0,2,0
P,2.01E+12,1,1402,-9,22,1094136,28,87,5,16,1,16,1,0,6,1,,6,0,,0,4600,2,0
P,2.01E+12,1,1600,-9,22,1094136,16,50,1,0,2,21,1,175000,1,1,7870,1,0,726,175000,175000,1,0
P,2.01E+12,2,1600,-9,22,1094136,17,49,1,1,1,21,2,0,6,1,8680,1,0,800,0,0,1,0
P,2.01E+12,3,1600,-9,22,1094136,11,16,5,2,2,12,2,0,6,1,,6,1,,0,150,1,1
P,2.01E+12,4,1600,-9,22,1094136,12,12,5,2,3,10,2,,,1,,,1,,,,1,1
P,2.01E+12,1,1501,-9,22,1094136,12,43,1,0,2,21,1,5000,1,1,7860,1,0,2310,5000,17000,1,0
